Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HomeGoalsAvg,AwayGoalsAvg,HomeConcedeAvg,AwayConcedeAvg,HomeRecentPoints,AwayRecentPoints,HomeWinRate,AwayWinRate,HomeCleanSheetRate,AwayCleanSheetRate,HomeBTTSRate,AwayBTTSRate,HomeOver25Rate,AwayOver25Rate,HomeGoalsAvgHome,HomeConcedeAvgHome,HomeRecentPointsHome,AwayGoalsAvgAway,AwayConcedeAvgAway,AwayRecentPointsAway,H2HHomeWins,H2HAwayWins,H2HDraws,H2HGoalsAvg,HomeAttackStrength,AwayAttackStrength,HomeDefenseStrength,AwayDefenseStrength,ExpectedHomeGoals,ExpectedAwayGoals
2015-09-19,Newcastle,Watford,1.0,2.0,A,0.0,2.0,A,0.4,0.6,1.4,0.8,2,6,0.0,0.2,0.0,0.6,0.0,0.2,0.0,0.2,1.0,1.5,1,1.0,2.0,1,0,0,0,0.0,0.82,0.806,1.21,1.639,2.076,1.249
2015-09-19,Stoke,Leicester,2.0,2.0,D,2.0,0.0,H,0.6,2.2,1.4,1.4,2,11,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.6,0.0,1.0,0,1.5,1.0,4,0,0,0,0.0,0.0,1.195,0.797,0.823,0.0,1.219
2015-09-19,Swansea,Everton,0.0,0.0,D,0.0,0.0,D,1.4,1.6,1.0,1.0,8,8,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.6,2.0,0.5,6,1.5,0.0,4,0,0,0,0.0,1.625,1.182,0.394,0.0,0.0,0.596
2015-09-19,Man City,West Ham,1.0,2.0,A,1.0,2.0,A,2.2,2.2,0.0,1.2,15,9,0.0,0.6,0.0,0.6,0.0,0.4,0.0,0.6,2.5,0.0,6,2.5,0.0,6,0,0,0,0.0,2.07,2.008,0.0,0.0,0.0,0.0
2015-09-19,Aston Villa,West Brom,0.0,1.0,A,0.0,1.0,A,1.2,0.6,1.6,1.2,4,5,0.0,0.2,0.0,0.6,0.0,0.2,0.0,0.4,1.0,1.5,1,0.5,0.0,4,0,0,0,0.0,0.831,0.397,1.191,0.0,0.0,0.605
2015-09-19,Bournemouth,Sunderland,2.0,0.0,H,2.0,0.0,H,1.2,1.2,1.8,2.2,4,2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.5,1.0,1,2.0,3.0,1,0,0,0,0.0,0.423,1.594,0.797,2.538,1.658,1.626
2015-09-19,Chelsea,Arsenal,2.0,0.0,H,0.0,0.0,D,1.4,1.0,2.4,0.6,4,10,0.0,0.6,0.0,0.6,0.0,0.2,0.0,0.2,1.5,2.0,1,1.5,0.5,6,0,0,0,0.0,1.254,1.217,1.623,0.418,0.81,2.529
2015-09-20,Liverpool,Norwich,1.0,1.0,D,0.0,0.0,D,0.6,1.6,1.2,1.8,7,7,0.0,0.4,0.0,0.0,0.0,0.8,0.0,0.8,0.5,1.5,3,1.5,2.0,3,0,0,0,0.0,0.413,1.239,1.239,1.652,1.054,1.965
2015-09-20,Tottenham,Crystal Palace,1.0,0.0,H,0.0,0.0,D,0.8,1.6,0.8,1.2,6,9,0.0,0.6,0.0,0.0,0.0,0.8,0.0,0.8,1.0,1.0,2,2.5,1.0,6,0,0,0,0.0,0.829,2.071,0.829,0.829,1.062,2.198
2015-09-20,Southampton,Man United,2.0,3.0,A,1.0,1.0,D,1.0,1.2,1.0,0.6,6,10,0.0,0.6,0.0,0.6,0.0,0.4,0.0,0.4,1.5,1.5,3,1.0,1.0,3,0,0,0,0.0,1.246,0.843,1.264,0.831,1.599,1.364
